爱,ài
观察,guānchá
观点,guāndiǎn
观念,guānniàn
管子,guǎnzǐ
冠军,guànjūn
罐头,guàntou
光滑,guānghuá
光临,guānglín
光明,guāngmíng
光盘,guāngpán
光荣,guāngróng
广场,guǎngchǎng
广大,guǎngdà
广泛,guǎngfàn
规矩,guījǔ
规律,guīlǜ
规模,guīmó
规则,guīzé
柜台,guìtái
滚,gǔn
锅,guō
国籍,guójí
国庆节,guóqìngjié
果实,guǒshí
过分,guòfèn
过敏,guòmǐn
过期,guòqī
哈,hā
海关,hǎiguān
海鲜,hǎixiān
喊,hǎn
行业,hángyè
豪华,háohuá
好奇,hàoqí
和平,hépíng
何必,hébì
何况,hékuàng
合法,héfǎ
合理,hélǐ
合同,hétóng
合影,héyǐng
合作,hézuò
核心,héxīn
恨,hèn
横,héng
后果,hòuguǒ
忽视,hūshì
呼吸,hūxī
壶,hú
蝴蝶,húdié
胡说,húshuō
胡同,hútòng
胡须,húxū
糊涂,hútú
花生,huāshēng
滑冰,huábīng
划船,huáchuán
华裔,huáyì
话题,huàtí
化学,huàxué
怀念,huáiniàn
缓解,huǎnjiě
幻想,huànxiǎng
慌张,huāngzhāng
黄瓜,huángguā
黄金,huángjīn
皇帝,huángdì
皇后,huánghòu
挥,huī
灰,huī
灰尘,huīchén
灰心,huīxīn
恢复,huīfù
汇率,huìlǜ
婚礼,hūnlǐ
婚姻,hūnyīn
活跃,huóyuè
火柴,huǒchái
伙伴,huǒbàn
基本,jīběn
机器,jīqì
激烈,jīliè
肌肉,jīròu
及格,jígé
急忙,jímáng
集体,jítǐ
集中,jízhōng
记录,jìlù
记忆,jìyì
计算,jìsuàn
系领带,xìlǐngdài
纪录,jìlù
纪律,jìlǜ
纪念,jìniàn
寂寞,jìmò
家庭,jiātíng
家务,jiāwù
家乡,jiāxiāng
嘉宾,jiābīn
夹子,jiāzi
甲,jiǎ
假如,jiǎrú
假装,jiǎzhuāng
嫁,jià
价值,jiàzhí
驾驶,jiàshǐ
煎,jiān
肩膀,jiānbǎng
坚决,jiānjué
坚强,jiānqiáng
艰巨,jiānjù
艰苦,jiānkǔ
尖锐,jiānruì
捡,jiǎn
简历,jiǎnlì
简直,jiǎnzhí
剪刀,jiǎndāo
健身房,jiànshēnfáng
建立,jiànlì
建设,jiànshè
建议,jiànyì
建筑,jiànzhù
键盘,jiànpán
讲究,jiǎngjiū
讲座,jiǎngzuò
降落,jiàngluò
酱油,jiàngyóu
浇,jiāo
交换,jiāohuàn
交际,jiāojì
郊区,jiāoqū
胶水,jiāoshuǐ
角度,jiǎodù
狡猾,jiǎohuá
教材,jiàocái
教练,jiàoliàn
教训,jiàoxùn
接触,jiēchù
接待,jiēdài
接近,jiējìn
接着,jiēzhe
阶段,jiēduàn
结实,jiēshi
节,jié
节省,jiéshěng
结构,jiégòu
结合,jiéhé
结论,jiélùn
结账,jiézhàng
解放,jiěfàng
解说员,jiěshuōyuán
届,jiè
借口,jièkǒu
戒烟,jièyān
戒指,jièzhǐ
金属,jīnshǔ
紧,jǐn
紧急,jǐnjí
谨慎,jǐnshèn
进步,jìnbù
进口,jìnkǒu
近代,jìndài
尽力,jìnlì
尽量,jǐnliàng
精力,jīnglì
经典,jīngdiǎn
经营,jīngyíng
景色,jǐngsè
敬爱,jìngài
酒吧,jiǔbā
救,jiù
救护车,jiùhùchē
舅舅,jiùjiù
居然,jūrán
桔子,júzi
举,jǔ
具备,jùbèi
具体,jùtǐ
巨大,jùdà
聚会,jùhuì
俱乐部,jùlèbù
据说,jùshuō
捐,juān
卷,juǎn
决赛,juésài
决心,juéxīn
绝对,juéduì
角色,juésè
军事,jūnshì
均匀,jūnyún
卡车,kǎchē
开发,kāifā
开放,kāifàng
开幕式,kāimùshì
开心,kāixīn
砍,kǎn
看不起,kànbùqǐ
看来,kànlái
抗议,kàngyì
烤鸭,kǎoyā
颗,kē
可见,kějiàn
可靠,kěkào
可怕,kěpà
课程,kèchéng
克,kè
克服,kèfú
刻苦,kèkǔ
客观,kèguān
客厅,kètīng
空间,kōngjiān
恐怖,kǒngbù
空闲,kòngxián
控制,kòngzhì
口味,kǒuwèi
夸,kuā
会计,kuàijì
矿泉水,kuàngquánshuǐ
辣椒,làjiāo
蜡烛,làzhú
来自,láizì
拦,lán
烂,làn
狼,láng
劳动,láodòng
劳驾,láojià
老百姓,lǎobǎixìng
老板,lǎobǎn
老实,lǎoshí
老鼠,lǎoshǔ
姥姥,lǎolǎo
乐观,lèguān
雷,léi
类,lèi
梨,lí
离婚,líhūn
厘米,límǐ
礼拜天,lǐbàitiān
理论,lǐlùn
理由,lǐyóu
粒,lì
立方,lìfāng
立即,lìjí
立刻,lìkè
力量,lìliàng
利润,lìrùn
利息,lìxī
利益,lìyì
利用,lìyòng
连忙,liánmáng
连续剧,liánxùjù
联合,liánhé
恋爱,liànài
良好,liánghǎo
粮食,liángshí
了不起,liǎobùqǐ
临时,línshí
铃,líng
零件,língjiàn
零钱,língqián
零食,língshí
灵活,línghuó
领导,lǐngdǎo
领域,lǐngyù
流传,liúchuán
浏览,liúlǎn
龙,lóng
漏,lòu
露,lù
陆地,lùdì
陆续,lùxù
录取,lùqǔ
录音,lùyīn
轮流,lúnliú
论文,lùnwén
逻辑,luóji
落后,luòhòu
骂,mà
麦克风,màikèfēng
馒头,mántou
满足,mǎnzú
毛,máo
毛病,máobìng
矛盾,máodùn
冒险,màoxiǎn
贸易,màoyì
眉毛,méimáo
煤炭,méitàn
美术,měishù
魅力,mèilì
迷路,mílù
谜语,míyǔ
蜜蜂,mìfēng
密切,mìqiè
秘密,mìmì
秘书,mìshū
棉花,miánhuā
面对,miànduì
面积,miànjī
面临,miànlín
苗条,miáotiáo
描写,miáoxiě
秒,miǎo
民主,mínzhǔ
明确,míngquè
明显,míngxiǎn
明信片,míngxìnpiàn
明星,míngxīng
名牌,míngpái
名片,míngpiàn
名胜古迹,míngshènggǔjī
命令,mìnglìng
命运,mìngyùn
摸,mō
模仿,mófǎng
模糊,móhu
摩托车,mótuōchē
陌生,mòshēng
某,mǒu
目标,mùbiāo
目录,mùlù
目前,mùqián
木头,mùtou
哪怕,nǎpà
难怪,nánguài
难看,nánkàn
脑袋,nǎodài
内科,nèikē
嫩,nèn
能干,nénggàn
能源,néngyuán
年代,niándài
年纪,niánjì
念,niàn
宁可,nìngkě
牛仔裤,niúzǎikù
浓,nóng
农民,nóngmín
农业,nóngyè
女士,nǚshì
偶然,ǒurán
拍,pāi
排队,páiduì
排球,páiqiú
派,pài
盼望,pànwàng
赔偿,péicháng
培养,péiyǎng
佩服,pèifú
配合,pèihé
盆,pén
碰见,pèngjiàn
披,pī
批,pī
批准,pīzhǔn
皮鞋,píxié
疲劳,píláo
匹,pǐ
片,piàn
片面,piànmiàn
飘,piāo
频道,píndào
品种,pǐnzhǒng
凭,píng
平,píng
平常,píngcháng
平等,píngděng
平方,píngfāng
平衡,pínghéng
平静,píngjìng
平均,píngjūn
评价,píngjià
破产,pòchǎn
破坏,pòhuài
迫切,pòqiè
朴素,pǔsù
期待,qīdài
期间,qījiān
其余,qíyú
奇迹,qíjī
启发,qǐfā
企图,qǐtú
企业,qǐyè
气氛,qìfēn
汽油,qìyóu
牵,qiān
谦虚,qiānxū
签字,qiānzì
前途,qiántú
浅,qiǎn
欠,qiàn
枪,qiāng
强调,qiángdiào
强烈,qiángliè
抢,qiǎng
悄悄,qiāoqiāo
瞧,qiáo
巧妙,qiǎomiào
切,qiè
亲爱,qīnài
亲切,qīnqiè
亲自,qīnzì
侵略,qīnlüè
勤奋,qínfèn
勤劳,qínláo
青,qīng
青少年,qīngshàonián
轻视,qīngshì
青春,qīngchūn
清淡,qīngdàn
情景,qíngjǐng
情绪,qíngxù
请求,qǐngqiú
庆祝,qìngzhù
球迷,qiúmí
趋势,qūshì
娶,qǔ
取消,qǔxiāo
去世,qùshì
圈,quān
全面,quánmiàn
权力,quánlì
权利,quánlì
劝,quàn
缺乏,quēfá
确定,quèdìng
确认,quèrèn
燃烧,ránshāo
嚷,rǎng
绕,rào
热爱,rèài
热烈,rèliè
热心,rèxīn
人才,réncái
人口,rénkǒu
人类,rénlèi
人生,rénshēng
人事,rénshì
人物,rénwù
人员,rényuán
忍不住,rěnbúzhù
日常,rìcháng
日程,rìchéng
日历,rìlì
日期,rìqī
日用品,rìyòngpǐn
融化,rónghuà
荣幸,róngxìng
荣誉,róngyù
如何,rúhé
如今,rújīn
软件,ruǎnjiàn
弱,ruò
洒,sǎ
嗓子,sǎngzi
杀,shā
沙漠,shāmò
沙滩,shātān
傻,shǎ
晒,shài
删除,shānchú
闪电,shǎndiàn
善良,shànliáng
善于,shànyú
扇子,shànzi
商品,shāngpǐn
商业,shāngyè
上当,shàngdàng
勺子,sháozi
蛇,shé
舌头,shétou
舍不得,shěbùdé
设备,shèbèi
设计,shèjì
设施,shèshī
射击,shèjī
摄影,shèyǐng
伸,shēn
深刻,shēnkè
身材,shēncái
身份,shēnfèn
神话,shénhuà
神经,shénjīng
神秘,shénmì
升,shēng
生产,shēngchǎn
生动,shēngdòng
声调,shēngdiào
绳子,shéngzi
省略,shěnglüè
胜利,shènglì
诗,shī
失眠,shīmián
失去,shīqù
失业,shīyè
时代,shídài
时刻,shíkè
时髦,shímáo
时期,shíqī
时尚,shíshàng
实话,shíhuà
实践,shíjiàn
实习,shíxí
实现,shíxiàn
实行,shíxíng
实验,shíyàn
实用,shíyòng
食物,shíwù
石头,shítou
使劲儿,shǐjìnr
始终,shǐzhōng
是否,shìfǒu
试卷,shìjuàn
士兵,shìbīng
似的,shìdē
事实,shìshí
事物,shìwù
事先,shìxiān
收获,shōuhuò
收据,shōujù
手工,shǒugōng
手术,shǒushù
手套,shǒutào
手续,shǒuxù
手指,shǒuzhǐ
受伤,shòushāng
寿命,shòumìng
书架,shūjià
输入,shūrù
蔬菜,shūcài
舒适,shūshì
梳子,shūzi
熟练,shúliàn
鼠标,shǔbiāo
属于,shǔyú
数据,shùjù
数码,shùmǎ
摔,shuāi
甩,shuǎi
双方,shuāngfāng
税,shuì
说不定,shuōbùdìng
说服,shuōfú
撕,sī
丝绸,sīchóu
丝毫,sīháo
思考,sīkǎo
思想,sīxiǎng
私人,sīrén
似乎,sìhū
寺庙,sìmiào
宿舍,sùshè
随时,suíshí
碎,suì
损失,sǔnshī
缩短,suōduǎn
缩小,suōxiǎo
锁,suǒ
所,suǒ
所谓,suǒwèi
塔,tǎ
台阶,táijiē
太极拳,tàijíquán
太太,tàitài
谈判,tánpàn
坦率,tǎnshuài
烫,tàng
桃,táo
逃,táo
逃避,táobì
套,tào
特殊,tèshū
特意,tèyì
特征,tèzhēng
疼爱,téngài
提,tí
提倡,tíchàng
提纲,tígāng
提问,tíwèn
题目,tímù
体会,tǐhuì
体积,tǐjī
体贴,tǐtiē
体现,tǐxiàn
体验,tǐyàn
天空,tiānkōng
天真,tiānzhēn
田野,tiányě
调皮,tiáopí
调整,tiáozhěng
挑战,tiǎozhàn
通常,tōngcháng
通讯,tōngxùn
铜,tóng
同时,tóngshí
统一,tǒngyī
统治,tǒngzhì
痛苦,tòngkǔ
痛快,tòngkuài
投资,tóuzī
透明,tòumíng
突出,tūchū
土地,tǔdì
土豆,tǔdòu
吐,tǔ
兔子,tùzi
团,tuán
推辞,tuīcí
推广,tuīguǎng
推荐,tuījiàn
退,tuì
退步,tuìbù
退休,tuìxiū
歪,wāi
外交,wàijiāo
弯,wān
完美,wánměi
完善,wánshàn
完整,wánzhěng
玩具,wánjù
万一,wànyī
王子,wángzǐ
往返,wǎngfǎn
危害,wēihài
微笑,wēixiào
威胁,wēixié
违反,wéifǎn
维护,wéihù
围巾,wéijīn
围绕,wéirào
唯一,wéiyī
尾巴,wěibā
伟大,wěidà
委屈,wěiqū
委托,wěituō
胃,wèi
位置,wèizhì
未必,wèibì
未来,wèilái
卫生间,wèishēngjiān
温暖,wēnnuǎn
温柔,wēnróu
闻,wén
文件,wénjiàn
文具,wénjù
文明,wénmíng
文学,wénxué
吻,wěn
稳定,wěndìng
问候,wènhòu
卧室,wòshì
屋子,wūzi
无奈,wúnài
无数,wúshù
武器,wǔqì
武术,wǔshù
雾,wù
物理,wùlǐ
物质,wùzhì
吸收,xīshōu
系,xì
系统,xìtǒng
细节,xìjié
戏剧,xìjù
瞎,xiā
吓,xià
下载,xiàzǎi
鲜艳,xiānyàn
显得,xiǎnde
显然,xiǎnrán
显示,xiǎnshì
县,xiàn
现金,xiànjīn
现实,xiànshí
现象,xiànxiàng
相处,xiāngchǔ
相当,xiāngdāng
相对,xiāngduì
相关,xiāngguān
相似,xiāngsì
想念,xiǎngniàn
想象,xiǎngxiàng
享受,xiǎngshòu
项,xiàng
项链,xiàngliàn
项目,xiàngmù
橡皮,xiàngpí
象棋,xiàngqí
象征,xiàngzhēng
消费,xiāofèi
消化,xiāohuà
消灭,xiāomiè
消失,xiāoshī
销售,xiāoshòu
小吃,xiǎochī
小伙子,xiǎohuǒzi
小麦,xiǎomài
小气,xiǎoqì
小偷,xiǎotōu
效率,xiàolǜ
孝顺,xiàoshùn
歇,xiē
斜,xié
协调,xiétiáo
心理,xīnlǐ
心脏,xīnzàng
欣赏,xīnshǎng
信封,xìnfēng
信号,xìnhào
信息,xìnxī
行动,xíngdòng
行人,xíngrén
行为,xíngwéi
形成,xíngchéng
形容,xíngróng
形式,xíngshì
形势,xíngshì
形象,xíngxiàng
形状,xíngzhuàng
性质,xìngzhì
幸亏,xìngkuī
幸运,xìngyùn
胸,xiōng
兄弟,xiōngdì
雄伟,xióngwěi
修改,xiūgǎi
休闲,xiūxián
虚心,xūxīn
叙述,xùshù
宣布,xuānbù
宣传,xuānchuán
选举,xuǎnjǔ
学期,xuéqī
学术,xuéshù
学问,xuéwèn
询问,xúnwèn
寻找,xúnzhǎo
训练,xùnliàn
迅速,xùnsù
延长,yáncháng
严肃,yánsù
宴会,yànhuì
阳台,yángtái
痒,yǎng
样式,yàngshì
腰,yāo
摇,yáo
咬,yǎo
要不,yàobù
要是,yàoshì
夜,yè
液体,yètǐ
业务,yèwù
业余,yèyú
依然,yīrán
一辈子,yībèizi
一旦,yīdàn
一路平安,yílùpíngān
一致,yīzhì
移动,yídòng
移民,yímín
遗憾,yíhàn
疑问,yíwèn
乙,yǐ
以及,yǐjí
以来,yǐlái
意外,yìwài
意义,yìyì
议论,yìlùn
义务,yìwù
因而,yīnér
因素,yīnsù
银,yín
英俊,yīngjùn
英雄,yīngxióng
迎接,yíngjiē
营养,yíngyǎng
营业,yíngyè
影子,yǐngzi
硬币,yìngbì
硬件,yìngjiàn
应付,yìngfù
应聘,yìngpìn
应用,yìngyòng
拥抱,yōngbào
拥挤,yōngjǐ
勇气,yǒngqì
用途,yòngtú
优惠,yōuhuì
优美,yōuměi
优势,yōushì
悠久,yōujiǔ
邮局,yóujú
游览,yóulǎn
犹豫,yóuyù
油炸,yóuzhá
有利,yǒulì
幼儿园,yòuéryuán
娱乐,yúlè
与其,yǔqí
语气,yǔqì
宇宙,yǔzhòu
预报,yùbào
预订,yùdìng
预防,yùfáng
玉米,yùmǐ
元旦,yuándàn
缘故,yuángù
原料,yuánliào
原则,yuánzé
愿望,yuànwàng
晕,yūn
运气,yùnqì
运输,yùnshū
运用,yùnyòng
灾害,zāihài
再三,zàisān
赞成,zànchéng
赞美,zànměi
糟糕,zāogāo
造成,zàochéng
则,zé
责备,zébèi
摘,zhāi
粘贴,zhāntiē
展开,zhǎnkāi
展览,zhǎnlǎn
占线,zhànxiàn
战争,zhànzhēng
涨,zhǎng
掌握,zhǎngwò
账户,zhànghù
招待,zhāodài
着凉,zháoliáng
照常,zhàocháng
召开,zhàokāi
哲学,zhéxué
真理,zhēnlǐ
真实,zhēnshí
针对,zhēnduì
珍惜,zhēnxī
诊断,zhěnduàn
枕头,zhěntou
阵,zhèn
振动,zhèndòng
睁,zhēng
争论,zhēnglùn
争取,zhēngqǔ
征求,zhēngqiú
整个,zhěnggè
整体,zhěngtǐ
正,zhèng
政策,zhèngcè
政府,zhèngfǔ
政治,zhèngzhì
证件,zhèngjiàn
证据,zhèngjù
挣钱,zhèngqián
支,zhī
支票,zhīpiào
直,zhí
执行,zhíxíng
执照,zhízhào
指导,zhǐdǎo
指挥,zhǐhuī
制定,zhìdìng
制度,zhìdù
制作,zhìzuò
智慧,zhìhuì
至今,zhìjīn
至于,zhìyú
治疗,zhìliáo
秩序,zhìxù
志愿者,zhìyuànzhě
钟,zhōng
中介,zhōngjiè
中心,zhōngxīn
中旬,zhōngxún
重,zhòng
重量,zhòngliàng
周到,zhōudào
逐步,zhúbù
竹子,zhúzi
煮,zhǔ
主持,zhǔchí
主观,zhǔguān
主人,zhǔrén
主席,zhǔxí
主张,zhǔzhāng
嘱咐,zhǔfù
祝福,zhùfú
注册,zhùcè
抓紧,zhuājǐn
专家,zhuānjiā
专心,zhuānxīn
转变,zhuǎnbiàn
转告,zhuǎngào
装,zhuāng
装饰,zhuāngshì
状况,zhuàngkuàng
状态,zhuàngtài
追求,zhuīqiú
资格,zīgé
资金,zījīn
资料,zīliào
资源,zīyuán
姿势,zīshì
咨询,zīxún
紫,zǐ
字幕,zìmù
自从,zìcóng
自动,zìdòng
自豪,zìháo
自觉,zìjué
自私,zìsī
自信,zìxìn
自由,zìyóu
自愿,zìyuàn
综合,zōnghé
宗教,zōngjiào
总裁,zǒngcái
总共,zǒnggòng
总理,zǒnglǐ
总算,zǒngsuàn
总统,zǒngtǒng
总之,zǒngzhī
组合,zǔhé
祖国,zǔguó
祖先,zǔxiān
阻止,zǔzhǐ
醉,zuì
最初,zuìchū
罪犯,zuìfàn
尊敬,zūnjìng
遵守,zūnshǒu
作品,zuòpǐn
作为,zuòwéi
作文,zuòwén
